ts: 4340.566, i: 0.104248, j: 0.351685, k: -0.239014, real: 0.899048, acc: 3.141602
ts: 4376.946, i: 0.097839, j: 0.346741, k: -0.226746, real: 0.904846, acc: 3.141602
ts: 4408.577, i: 0.091431, j: 0.340088, k: -0.215820, real: 0.910706, acc: 3.141602
ts: 4438.379, i: 0.085022, j: 0.335693, k: -0.208496, real: 0.914673, acc: 3.141602
ts: 4471.058, i: 0.077515, j: 0.331970, k: -0.201233, real: 0.918274, acc: 3.141602
ts: 4506.391, i: 0.070679, j: 0.329346, k: -0.194458, real: 0.921265, acc: 3.141602
ts: 4533.430, i: 0.067017, j: 0.327209, k: -0.189880, real: 0.923218, acc: 3.141602
ts: 4573.650, i: 0.062073, j: 0.324097, k: -0.185364, real: 0.925598, acc: 3.141602
ts: 4606.261, i: 0.059082, j: 0.320557, k: -0.181335, real: 0.927856, acc: 3.141602
ts: 4646.630, i: 0.056763, j: 0.317871, k: -0.177673, real: 0.929626, acc: 3.141602
ts: 4674.191, i: 0.054932, j: 0.315857, k: -0.176208, real: 0.930664, acc: 3.141602
ts: 4706.407, i: 0.053772, j: 0.312805, k: -0.174561, real: 0.932068, acc: 3.141602
ts: 4739.084, i: 0.052917, j: 0.310364, k: -0.175720, real: 0.932739, acc: 3.141602
ts: 4774.035, i: 0.050049, j: 0.311646, k: -0.185974, real: 0.930481, acc: 3.141602
ts: 4806.538, i: 0.052551, j: 0.312439, k: -0.193237, real: 0.928589, acc: 3.141602
ts: 4839.084, i: 0.056030, j: 0.315674, k: -0.198853, real: 0.926086, acc: 3.141602
ts: 4871.996, i: 0.055786, j: 0.319092, k: -0.207825, real: 0.922974, acc: 3.141602
ts: 4906.803, i: 0.055969, j: 0.318665, k: -0.216919, real: 0.921021, acc: 3.141602
ts: 4939.309, i: 0.060486, j: 0.318115, k: -0.221008, real: 0.919922, acc: 3.141602
ts: 4971.941, i: 0.059998, j: 0.317932, k: -0.227356, real: 0.918457, acc: 3.141602
ts: 5007.391, i: 0.059753, j: 0.314758, k: -0.232361, real: 0.918335, acc: 3.141602
ts: 5039.412, i: 0.059998, j: 0.312073, k: -0.234131, real: 0.918762, acc: 3.141602
ts: 5072.346, i: 0.057678, j: 0.310913, k: -0.237366, real: 0.918518, acc: 3.141602
ts: 5107.428, i: 0.055603, j: 0.309326, k: -0.240295, real: 0.918396, acc: 3.141602
ts: 5139.678, i: 0.055725, j: 0.306091, k: -0.239563, real: 0.919678, acc: 3.141602
ts: 5172.342, i: 0.052979, j: 0.305481, k: -0.240601, real: 0.919739, acc: 3.141602
ts: 5212.269, i: 0.051758, j: 0.304321, k: -0.242310, real: 0.919800, acc: 3.141602
ts: 5242.215, i: 0.050415, j: 0.302490, k: -0.242371, real: 0.920471, acc: 3.141602
ts: 5277.525, i: 0.047363, j: 0.299744, k: -0.241882, real: 0.921631, acc: 3.141602
ts: 5309.985, i: 0.048096, j: 0.299133, k: -0.243652, real: 0.921326, acc: 3.141602
ts: 5342.524, i: 0.049194, j: 0.298706, k: -0.245056, real: 0.921021, acc: 3.141602
ts: 5375.202, i: 0.046021, j: 0.296143, k: -0.244690, real: 0.922119, acc: 3.141602
ts: 5405.275, i: 0.045166, j: 0.293884, k: -0.245483, real: 0.922668, acc: 3.141602
ts: 5442.877, i: 0.048035, j: 0.293640, k: -0.247925, real: 0.921936, acc: 3.141602
ts: 5475.281, i: 0.045959, j: 0.294312, k: -0.248718, real: 0.921631, acc: 3.141602
ts: 5505.301, i: 0.046509, j: 0.292969, k: -0.248901, real: 0.921997, acc: 3.141602
ts: 5540.562, i: 0.048706, j: 0.287781, k: -0.250427, real: 0.923096, acc: 3.141602
